experiment_folder,experiment_title,base_matcher,matcher,modality,dataset,dataset_file,config_file,summary_file,ranking_strategy,shortlist_k,shortlist_matcher,probes_per_identity,gallery_samples_per_identity,num_probes,num_valid_ranks,rank_1_accuracy,rank_5_accuracy,rank_10_accuracy,rank_15_accuracy,mean_average_precision,mean_rank,median_rank,std_rank
hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade,Identification test experiment 11k hands 50 identities 1 probe 3 gallery palmar right masked cropped all matchers cached cascade,loftr,loftr,hand,11khands,bioverify/data/identification/identification_hand_11khands_50_1_3_palmar_right.csv,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\config.yaml,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade,Identification test experiment 11k hands 50 identities 1 probe 3 gallery palmar right masked cropped all matchers cached cascade,orb,orb-fingervein,hand,11khands,bioverify/data/identification/identification_hand_11khands_50_1_3_palmar_right.csv,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\config.yaml,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.98,1.0,1.0,1.0,0.9866666666666666,1.04,1.0,0.27999999999999997
hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade,Identification test experiment 11k hands 50 identities 1 probe 3 gallery palmar right masked cropped all matchers cached cascade,sift,sift-fingervein,hand,11khands,bioverify/data/identification/identification_hand_11khands_50_1_3_palmar_right.csv,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\config.yaml,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.94,1.0,1.0,1.0,0.97,1.06,1.0,0.23748684174075835
hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade,Identification test experiment 11k hands 50 identities 1 probe 3 gallery palmar right masked cropped all matchers cached cascade,superglue,superglue-fingervein,hand,11khands,bioverify/data/identification/identification_hand_11khands_50_1_3_palmar_right.csv,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\config.yaml,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.88,0.98,0.98,1.0,0.9183333333333333,1.42,1.0,1.6503332996701001
hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade,Identification test experiment 11k hands 50 identities 1 probe 3 gallery palmar right masked cropped all matchers cached cascade,sgmnet,sgmnet-fingervein,hand,11khands,bioverify/data/identification/identification_hand_11khands_50_1_3_palmar_right.csv,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\config.yaml,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade,Identification test experiment 11k hands 50 identities 1 probe 3 gallery palmar right masked cropped all matchers cached cascade,aspanformer,aspanformer,hand,11khands,bioverify/data/identification/identification_hand_11khands_50_1_3_palmar_right.csv,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\config.yaml,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.04,0.26,0.56,1.0,0.1750927405927406,8.98,9.0,4.052110561176731
hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade,Identification test experiment 11k hands 50 identities 1 probe 3 gallery palmar right masked cropped all matchers cached cascade,deepdetect,deepdetect,hand,11khands,bioverify/data/identification/identification_hand_11khands_50_1_3_palmar_right.csv,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\config.yaml,results\identification\hand_11khands_50_1_3_palmar_right_masked_cropped_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.68,0.9,0.96,1.0,0.7797943722943724,2.2,1.0,2.6532998322843198
