experiment_folder,experiment_title,base_matcher,matcher,modality,dataset,dataset_file,config_file,summary_file,ranking_strategy,shortlist_k,shortlist_matcher,probes_per_identity,gallery_samples_per_identity,num_probes,num_valid_ranks,rank_1_accuracy,rank_5_accuracy,rank_10_accuracy,rank_15_accuracy,mean_average_precision,mean_rank,median_rank,std_rank
face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade angle equal or less than 30 degrees and other parameters fixed,loftr,loftr,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a_le30_lock.csv,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\config.yaml,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.66,0.72,0.72,0.72,0.6995806349770135,9.74,1.0,14.780811885684765
face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade angle equal or less than 30 degrees and other parameters fixed,orb,orb-fingervein,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a_le30_lock.csv,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\config.yaml,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.62,0.7,0.72,0.72,0.6670806349770134,9.94,1.0,14.700217685463029
face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade angle equal or less than 30 degrees and other parameters fixed,sift,sift-fingervein,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a_le30_lock.csv,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\config.yaml,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.6,0.66,0.72,0.72,0.6444377778341565,10.16,1.0,14.623761486019937
face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade angle equal or less than 30 degrees and other parameters fixed,superglue,superglue-fingervein,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a_le30_lock.csv,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\config.yaml,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.38,0.68,0.72,0.72,0.5064139683103468,10.58,2.5,14.387619678042649
face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade angle equal or less than 30 degrees and other parameters fixed,sgmnet,sgmnet-fingervein,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a_le30_lock.csv,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\config.yaml,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.6,0.68,0.7,0.72,0.6488663492627278,10.18,1.0,14.658362800804188
face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade angle equal or less than 30 degrees and other parameters fixed,aspanformer,aspanformer,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a_le30_lock.csv,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\config.yaml,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.28,0.56,0.64,0.72,0.40740481080118923,11.8,4.5,13.995713629536723
face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade,Identification test experiment face multipie 50 identities 1 probe 3 gallery masked all matchers cached cascade angle equal or less than 30 degrees and other parameters fixed,deepdetect,deepdetect,face,multipie,bioverify/data/identification/identification_face_multipie_50_1_3_a_le30_lock.csv,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\config.yaml,results\identification\face_multipie_50_1_3_a_le30_lock_masked_all_matchers_cached_cascade\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.42,0.62,0.68,0.72,0.5075952869916655,11.06,3.0,14.289030757892574
