experiment_folder,experiment_title,base_matcher,matcher,modality,dataset,dataset_file,config_file,summary_file,threshold_analysis_file,eer,accuracy,precision,recall,roc_auc,tar,far,frr,trr,num_pairs,num_genuine,num_impostor,avg_inlier_ratio
1k_hands_nomask_all_matchers,All matchers 1k Hands no mask,deepdetect,DeepDetect,hand,11khands,bioverify/data/pairs/test_1k_11khands.csv,bioverify/results/1k_hands_nomask_all_matchers/config.yaml,bioverify/results/1k_hands_nomask_all_matchers/summary.json,bioverify/results/1k_hands_nomask_all_matchers/evaluation/DeepDetect_threshold_analysis.json,0.443,0.573,0.5582137161084529,0.7,0.6032259999999999,0.7,0.554,0.3,0.446,1000,500,500,0.4249956586706944
face_multipie_500_angle_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,loftr,loftr,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_angle_change.csv,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/evaluation/loftr_threshold_analysis.json,0.288,0.552,0.8823529411764706,0.12,0.7491680000000001,0.12,0.016,0.88,0.984,500,250,250,0.21545646277560015
face_multipie_500_angle_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,orb,orb-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_angle_change.csv,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/evaluation/orb-fingervein_threshold_analysis.json,0.364,0.586,0.9215686274509803,0.188,0.679776,0.188,0.016,0.812,0.984,500,250,250,0.17089878639752476
face_multipie_500_angle_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,sift,sift-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_angle_change.csv,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/evaluation/sift-fingervein_threshold_analysis.json,0.35,0.534,0.7575757575757576,0.1,0.6615120000000001,0.1,0.032,0.9,0.968,500,250,250,0.13424363869078085
face_multipie_500_angle_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,superglue,superglue-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_angle_change.csv,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/evaluation/superglue-fingervein_threshold_analysis.json,0.392,0.578,0.5589123867069486,0.74,0.616808,0.74,0.584,0.26,0.416,500,250,250,0.19294913069760855
face_multipie_500_angle_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,sgmnet,sgmnet-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_angle_change.csv,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/evaluation/sgmnet-fingervein_threshold_analysis.json,0.304,0.548,0.9615384615384616,0.1,0.7578400000000001,0.1,0.004,0.9,0.996,500,250,250,0.09200175499524307
face_multipie_500_angle_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,aspanformer,aspanformer,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_angle_change.csv,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/evaluation/aspanformer_threshold_analysis.json,0.524,0.48,0.4774774774774775,0.424,0.49521600000000005,0.424,0.464,0.576,0.536,500,250,250,0.3487212758154717
face_multipie_500_angle_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,deepdetect,deepdetect,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_angle_change.csv,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_angle_change_masked_all_matchers_fingervein/evaluation/deepdetect_threshold_analysis.json,0.408,0.596,0.5909090909090909,0.624,0.6325600000000001,0.624,0.432,0.376,0.568,500,250,250,0.36298320567478176
face_multipie_500_expression_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,loftr,loftr,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_expression_change.csv,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/evaluation/loftr_threshold_analysis.json,0.028,0.962,0.9914893617021276,0.932,0.995808,0.932,0.008,0.068,0.992,500,250,250,0.42519061357675325
face_multipie_500_expression_change_masked_all_matchers_fingervein,All matchers 500 faces Multi-PIE with masking,orb,orb-fingervein,face,multipie,bioverify/data/pairs/pairs_face_multipie_500_expression_change.csv,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/config.yaml,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/summary.json,bioverify/results/face_multipie_500_expression_change_masked_all_matchers_fingervein/evaluation/orb-fingervein_threshold_analysis.json,0.028,0.97,0.9607843137254902,0.98,0.994856,0.98,0.04,0.02,0.96,500,250,250,0.4353323034622693
